GeneName	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_cat
1016	Cd74	725.943271508699	2.57257435327251	0.348360849175252	2.42035267431975e-15	11.2378324881538	HH
1490	Kif11	291.652245847219	1.50938951186443	0.444309082876321	2.41875090665769e-05	2.33849054060432	HH
1495	Lgals3	3136.28789433395	0.550121847134275	0.153625288287326	1.47322865781916e-05	2.49483366747039	HH
1709	Lilr4b	2640.54511614044	1.08070935672105	0.154021877549704	1.04352848252229e-13	9.80732681591243	HH
2503	Bub1	51.003568410623	4.78103138755864	1.28691895267717	8.64747349640204e-06	2.69726335210178	HH
4129	Gab2	35.2355330009751	3.87034826261766	1.83738563470575	0.000422453689585422	1.32634580652868	HH
4173	Irgm1	6556.22222475126	0.528043633739527	0.105909577875261	3.14948917559844e-08	4.78622885225217	HH
4243	Cirbp	3060.81636804014	0.873682772461107	0.140204286262065	2.21867789101711e-11	7.75273813968684	HH
4395	Gbp6	2556.06782978533	0.780411155624666	0.161928813836023	6.30365904402623e-08	4.53812176953344	HH
4845	Cybb	53.0650279138878	3.60787211768455	1.98383792023514	0.0001080179277909	1.7923352817518	HH
5366	Plac8	2929.68215110902	0.541713394288422	0.173511474124018	7.00416254438374e-05	1.92864326890115	HH
5721	Rtp4	3207.96921865595	1.07421273827416	0.142347932383916	2.07357561136223e-15	11.2378324881538	HH
5773	Cish	1457.22480980393	0.61652645543938	0.207824597063493	0.000114757889299412	1.77495886777284	HH
6025	Ms4a4c	3439.78504822026	0.887686914959569	0.153293066685869	2.94180988493342e-10	6.73288013433139	HH
6067	Ly6a	8274.76622444894	0.694487841113562	0.104615166177073	1.54127771926579e-12	8.776252921178	HH
6354	Gm12250	2213.03453997641	0.592299579603528	0.168887337283385	1.92285949171873e-05	2.41694483630592	HH
6435	Cmpk2	3040.79325787915	0.641008349581549	0.158263657740788	2.17880863286599e-06	3.18658204027082	HH
6685	Mx1	936.838964979522	0.94087048260074	0.246984735749281	5.59127261278073e-06	2.84732832664157	HH
