Gene_Sym	GeneID	baseMean	log2FoldChange	lfcSE	pvalue	padj
Plekhg2	101497	1402.05947051089	-0.0166491917257209	0.0728182764021475	0.450019418537891	0.999958094925527
Plekhg3	263406	576.759140527084	0.00596050383935858	0.0720649734506429	0.739122959733466	0.999958094925527
Plekhg1	213783	0.739135128964882	0.000411285391815394	0.074023966527275	0.680630689633012	NA
Plekhg6	213522	12.4510174023047	-0.00203759913817412	0.0740202640089116	0.427231453721836	0.999958094925527
Plekhg5	269608	88.5686283841043	0.00277570350369499	0.0737196035495957	0.714050487873917	0.999958094925527
Nsa2	59050	1299.60963409144	0.00446872868712488	0.0695589512360489	0.855204672022904	0.999958094925527
Nampt	59027	1484.16029565458	0.00704827579019807	0.0693670144742725	0.780876825573829	0.999958094925527
Vmo1	327956	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Man2a1	17158	1748.23663582705	0.0129993655349094	0.0696682937559933	0.626816889067585	0.999958094925527
F930015N05Rik	654805	0.810033077205118	-0.000398724597043224	0.0740243069632022	0.631329514624404	NA
Vwf	22371	8.37441318157242	0.0022964875495759	0.0740651507956948	0.113448660212977	0.868682464299429
Mier1	71148	3071.97616895686	-0.0153847732043819	0.0677009285846121	0.611042569752386	0.999958094925527
Mier2	70427	775.632293040959	0.0100010615469825	0.0722147147686271	0.604818681508085	0.999958094925527
Mier3	218613	1703.88071461168	-0.418388462684275	0.21597297244565	0.00167795484605141	0.116370033552088
Aqp11	66333	12.5913668788557	0.000992847282688073	0.0740110088748517	0.378132519361842	0.999958094925527
1810010H24Rik	69066	25.8105627609382	0.000698607615210989	0.073962891277657	0.814601189725033	0.999958094925527
Tubal3	238463	4.98640779189218	0.00142318307702955	0.0740414612405493	0.134638742000741	NA
Dag1	13138	703.895022605678	-0.0369384199814003	0.0854253718174274	0.0484738603282437	0.65363116178502
Myadm	50918	759.655483702405	-0.0368756080195462	0.0841957911925575	0.086817168045688	0.792744535389516
Gm15008	100534633	3.81824717938876	-0.000317193594434528	0.0740162682537968	0.596943927269169	NA
Sacs	50720	134.754009704199	-3.59897096860268e-05	0.0734476064820642	0.993288359900516	0.999958094925527
Zfp712	78251	553.196957560597	0.00869888463124541	0.0726486897233632	0.611283321111153	0.999958094925527
Zfp710	209225	260.359224573253	-0.0195722518980061	0.0767725364617038	0.121742607342269	0.892586121429898
Zfp711	245595	4.03658461879968	0.000329176063433568	0.0740171625338477	0.850962836227465	NA
Zfp715	69930	1832.08596361956	-0.0071142465149967	0.0688602996870108	0.78365390340282	0.999958094925527
Mllt6	246198	873.21440518413	-0.0311973708051669	0.0799270749979212	0.153616418207687	0.933034036552893
Zfp719	210105	978.368857807746	-0.0209567245345457	0.0750078317623048	0.309075703427606	0.999958094925527
Mllt1	64144	2099.26952763873	-0.013009127415388	0.0693652367376673	0.629841687487944	0.999958094925527
Mllt3	70122	2011.46693514314	0.0046730118724034	0.0675741700878297	0.868476637580326	0.999958094925527
Btg4	56057	2.7101621395379	0.000441909688848113	0.074024551043704	0.526774365232201	NA
Btg3	12228	11.6156468958654	0.000200343975673075	0.0739681780782235	0.949781827144995	0.999958094925527
Btg2	12227	6436.27576540431	-0.050295934983796	0.0737212143681727	0.206638111370046	0.976460727410061
Btg1	12226	29669.6236571106	-0.177090318746196	0.0749521775563872	0.00192339679141963	0.123542050898335
Nupl1	71844	1039.82842192765	-0.0477718179900405	0.0915742986379268	0.0688734303970759	0.746670483624198
Nupl2	231042	405.34418086546	-0.00258753425448334	0.0725223162415453	0.858701503937478	0.999958094925527
Npat	244879	1587.18099324638	-0.0433357576336913	0.0843591583312279	0.14233418639196	0.916944457515982
